ORDNUM,ORDSTATUS,TOTAL,CUSNUM,ORDTIME,ORDTYPE,RESNUM
1550,완료,15000,35,2019-05-26 12:59:59,매장,
1551,완료,10000,108,2019-05-26 13:43:37,테이크아웃,
1552,완료,7000,119,2019-05-25 07:44:05,테이크아웃,
1553,완료,7500,26,2019-05-22 06:58:40,테이크아웃,
1554,완료,9000,10,2019-05-26 13:25:58,테이크아웃,
1555,완료,30000,65,2019-05-22 18:44:15,테이크아웃,
1556,완료,10000,,2019-05-20 17:11:38,매장,
1557,완료,5000,106,2019-05-25 13:18:46,매장,
1558,완료,5000,116,2019-05-23 12:35:21,매장,
1559,완료,7500,85,2019-05-21 09:17:35,테이크아웃,
1560,완료,12000,69,2019-05-26 06:17:42,매장,
1561,완료,7500,,2019-05-26 01:10:50,테이크아웃,
1562,완료,1500,131,2019-05-20 16:53:30,테이크아웃,
1563,완료,4500,103,2019-05-20 12:49:21,테이크아웃,
1564,취소,4500,,2019-05-26 21:16:58,매장,
1565,완료,16500,,2019-05-25 12:14:01,매장,
1566,완료,8000,,2019-05-25 07:52:33,테이크아웃,
1567,취소,3000,,2019-05-26 15:15:41,테이크아웃,
1568,완료,8000,,2019-05-21 06:29:32,매장,
1569,완료,12000,,2019-05-25 16:03:06,매장,
1570,완료,6500,119,2019-05-26 21:02:24,테이크아웃,
1571,완료,3000,84,2019-05-26 13:43:28,테이크아웃,
1572,완료,9000,132,2019-05-25 15:06:33,매장,
1573,완료,8000,,2019-05-26 12:40:15,테이크아웃,
1574,완료,2500,,2019-05-23 22:25:14,테이크아웃,
1575,완료,10000,69,2019-05-20 16:28:48,테이크아웃,
1576,완료,1500,31,2019-05-25 15:05:05,매장,
1577,완료,5500,,2019-05-21 21:19:25,테이크아웃,
1578,완료,7000,4,2019-05-25 16:17:39,매장,
1579,완료,4000,133,2019-05-26 07:11:03,테이크아웃,
1580,완료,19500,134,2019-05-26 14:50:04,테이크아웃,
1581,완료,1500,48,2019-05-26 22:30:45,테이크아웃,
1582,완료,8500,,2019-05-23 16:56:44,매장,
1583,완료,10000,,2019-05-21 16:33:58,매장,
1584,완료,15000,78,2019-05-26 15:06:59,테이크아웃,
1585,완료,31500,122,2019-05-25 17:47:50,테이크아웃,
1586,완료,14500,,2019-05-20 07:02:46,매장,
1587,완료,6000,51,2019-05-26 14:48:32,매장,
1588,완료,5500,135,2019-05-20 15:02:41,테이크아웃,
1589,완료,3000,108,2019-05-25 16:25:35,테이크아웃,
1590,완료,4000,79,2019-05-22 10:23:08,테이크아웃,
1591,완료,15000,61,2019-05-26 11:02:03,테이크아웃,
1592,완료,5500,,2019-05-25 11:33:37,테이크아웃,
1593,완료,16500,,2019-05-22 07:48:29,매장,
1594,완료,3000,,2019-05-21 19:33:16,테이크아웃,
1595,완료,15000,136,2019-05-21 22:16:13,테이크아웃,
1596,완료,19000,38,2019-05-23 23:54:20,테이크아웃,
1597,완료,16500,5,2019-05-22 13:47:56,테이크아웃,
1598,완료,12000,96,2019-05-21 12:11:45,매장,
1599,완료,1500,4,2019-05-26 20:10:25,테이크아웃,
1600,완료,15000,,2019-05-25 14:01:13,테이크아웃,
1601,완료,12000,19,2019-05-25 18:48:11,매장,
1602,완료,3000,113,2019-05-22 16:06:34,매장,
1603,완료,10000,137,2019-05-25 13:22:40,테이크아웃,
1604,완료,4000,118,2019-05-25 16:21:24,테이크아웃,
1605,완료,30000,76,2019-05-21 17:58:39,테이크아웃,
1606,완료,8000,37,2019-05-23 12:53:55,테이크아웃,
1607,완료,5000,131,2019-05-21 14:57:26,매장,
1608,완료,9500,59,2019-05-23 22:43:47,테이크아웃,
1609,취소,5000,30,2019-05-22 14:25:06,테이크아웃,
1610,완료,5000,43,2019-05-26 09:57:30,테이크아웃,
1611,취소,3000,71,2019-05-22 15:11:11,테이크아웃,
1612,완료,21000,,2019-05-22 14:33:51,매장,
1613,취소,16500,52,2019-05-25 10:35:49,테이크아웃,
1614,완료,9500,55,2019-05-25 10:33:20,매장,
1615,완료,12000,59,2019-05-23 22:58:25,매장,
1616,완료,9000,119,2019-05-23 15:30:25,테이크아웃,
1617,완료,11000,117,2019-05-26 11:55:05,매장,
1618,완료,4000,9,2019-05-26 12:37:52,테이크아웃,
1619,완료,6000,113,2019-05-21 06:50:01,테이크아웃,
1620,완료,15000,,2019-05-25 12:11:32,테이크아웃,
1621,완료,8000,,2019-05-26 15:41:26,매장,
1622,완료,29000,106,2019-05-21 18:14:57,테이크아웃,
1623,완료,9000,,2019-05-20 15:53:56,매장,
1624,완료,12000,122,2019-05-26 12:49:32,테이크아웃,
1625,완료,13500,138,2019-05-26 06:35:53,테이크아웃,
1626,완료,15000,,2019-05-22 19:18:21,테이크아웃,
1627,완료,2000,70,2019-05-26 23:35:34,매장,
1628,완료,11000,28,2019-05-26 06:10:49,테이크아웃,
1629,완료,17000,37,2019-05-25 21:03:12,매장,
1630,완료,8000,21,2019-05-21 11:52:34,테이크아웃,
1631,완료,16500,139,2019-05-21 16:15:07,매장,
1632,완료,1500,107,2019-05-26 10:54:10,매장,
1633,완료,5500,32,2019-05-26 09:22:10,테이크아웃,
1634,완료,15000,113,2019-05-26 22:04:59,매장,
1635,완료,6000,9,2019-05-23 16:45:16,테이크아웃,
1636,완료,16500,,2019-05-26 07:41:19,테이크아웃,
1637,완료,15000,,2019-05-23 14:40:47,테이크아웃,
1638,완료,10000,,2019-05-26 22:53:40,테이크아웃,
1639,완료,10500,140,2019-05-25 07:25:09,매장,
1640,완료,15000,75,2019-05-26 13:02:15,테이크아웃,
1641,완료,4500,6,2019-05-20 14:54:19,매장,
1642,완료,4000,35,2019-05-21 08:03:27,매장,
1643,취소,7000,81,2019-05-25 13:11:29,매장,
1644,완료,11000,114,2019-05-23 13:32:43,테이크아웃,
1645,완료,12000,141,2019-05-26 11:54:49,테이크아웃,
1646,완료,10000,,2019-05-26 08:07:43,매장,
1647,완료,13500,70,2019-05-26 16:58:49,테이크아웃,
1648,취소,4000,2,2019-05-26 13:23:09,매장,
1649,완료,8000,,2019-05-21 22:05:45,테이크아웃,
1650,완료,11500,88,2019-05-22 11:09:09,테이크아웃,
1651,완료,1500,,2019-05-25 12:06:26,매장,
1652,완료,10000,,2019-05-25 10:32:11,매장,
1653,완료,4500,90,2019-05-26 18:45:23,테이크아웃,
1654,완료,3000,114,2019-05-26 12:32:53,매장,
1655,완료,5500,142,2019-05-26 16:01:50,테이크아웃,
1656,완료,4500,46,2019-05-20 10:25:05,테이크아웃,
1657,완료,3000,66,2019-05-20 12:04:00,매장,
1658,완료,10500,86,2019-05-26 14:46:05,매장,
1659,완료,3000,,2019-05-20 16:36:07,매장,
1660,완료,8000,,2019-05-26 15:49:13,매장,
1661,완료,9500,115,2019-05-20 16:20:08,테이크아웃,
1662,완료,9500,137,2019-05-26 19:16:02,테이크아웃,
1663,완료,9000,87,2019-05-26 15:08:18,매장,
1664,완료,4000,6,2019-05-26 19:15:42,테이크아웃,
1665,완료,6000,143,2019-05-20 16:04:28,테이크아웃,
1666,완료,9000,78,2019-05-23 07:34:24,테이크아웃,
1667,완료,1500,144,2019-05-22 13:24:43,테이크아웃,
1668,완료,3000,,2019-05-25 23:30:57,테이크아웃,
1669,완료,9000,143,2019-05-25 11:47:12,매장,
1670,완료,6000,,2019-05-20 14:49:41,테이크아웃,
1671,완료,16500,,2019-05-23 06:38:46,테이크아웃,
1672,완료,5000,145,2019-05-25 21:48:00,테이크아웃,
1673,완료,8000,13,2019-05-26 10:44:54,테이크아웃,
1674,취소,5500,74,2019-05-26 12:19:44,매장,
1675,완료,22500,85,2019-05-26 12:45:19,테이크아웃,
1676,완료,4500,127,2019-05-25 12:41:31,테이크아웃,
1677,완료,1500,99,2019-05-22 12:45:43,매장,
1678,완료,4500,54,2019-05-22 16:33:35,매장,
1679,완료,3000,,2019-05-20 11:48:25,매장,
1680,완료,9000,98,2019-05-20 11:32:21,테이크아웃,
1681,완료,9000,17,2019-05-20 13:36:28,테이크아웃,
1682,완료,13500,,2019-05-26 07:48:24,테이크아웃,
1683,완료,3000,,2019-05-23 12:02:00,매장,
1684,완료,4000,4,2019-05-21 11:35:40,테이크아웃,
1685,완료,1500,40,2019-05-23 17:28:03,테이크아웃,
1686,취소,2500,72,2019-05-23 12:13:17,테이크아웃,
1687,취소,2000,23,2019-05-25 13:22:53,테이크아웃,
1688,완료,5000,,2019-05-22 16:45:06,테이크아웃,
1689,완료,12000,32,2019-05-21 16:40:49,테이크아웃,
1690,완료,21500,,2019-05-23 13:17:09,매장,
1691,완료,3000,49,2019-05-22 18:04:10,테이크아웃,
1692,완료,15000,11,2019-05-26 14:24:14,테이크아웃,
1693,완료,18500,145,2019-05-26 13:25:15,테이크아웃,
1694,완료,5500,96,2019-05-23 23:46:16,테이크아웃,
1695,완료,4000,,2019-05-21 10:19:10,테이크아웃,
1696,완료,12000,25,2019-05-25 07:26:12,테이크아웃,
1697,완료,22500,,2019-05-26 15:44:44,테이크아웃,
1698,완료,7500,,2019-05-22 12:21:38,매장,
1699,완료,1500,78,2019-05-25 15:51:49,테이크아웃,
1700,완료,16500,,2019-05-26 16:45:45,테이크아웃,
1701,완료,2000,146,2019-05-26 12:09:05,매장,
1702,완료,9500,,2019-05-26 20:42:43,매장,
1703,완료,15500,,2019-05-21 21:33:15,매장,
1704,완료,4500,121,2019-05-26 16:32:57,매장,
1705,완료,15000,45,2019-05-26 13:25:15,테이크아웃,
1706,완료,3000,61,2019-05-21 07:58:41,매장,
1707,완료,3000,,2019-05-26 08:32:14,매장,
1708,완료,28500,,2019-05-23 19:26:40,테이크아웃,
1709,완료,5000,147,2019-05-25 19:56:53,매장,
1710,완료,3500,122,2019-05-23 15:42:45,테이크아웃,
1711,완료,8000,26,2019-05-26 19:52:34,매장,
1712,완료,12000,19,2019-05-21 15:39:42,매장,
1713,완료,12000,51,2019-05-26 14:07:02,매장,
1714,완료,1500,148,2019-05-22 16:50:46,매장,
1715,완료,4000,,2019-05-25 14:47:59,테이크아웃,
1716,취소,4500,149,2019-05-25 15:59:05,테이크아웃,
1717,완료,11000,,2019-05-22 08:04:49,매장,
1718,완료,27500,30,2019-05-20 15:27:29,테이크아웃,
1719,완료,5000,3,2019-05-26 11:16:04,테이크아웃,
1720,완료,4000,44,2019-05-26 23:00:11,매장,
1721,완료,12000,,2019-05-26 10:43:16,매장,
1722,완료,14000,135,2019-05-26 11:42:39,테이크아웃,
1723,완료,6000,,2019-05-26 14:02:11,매장,
1724,완료,8000,,2019-05-21 11:33:09,테이크아웃,
1725,완료,5500,145,2019-05-21 12:23:46,테이크아웃,
1726,완료,5000,74,2019-05-25 11:36:14,테이크아웃,
1727,완료,8000,,2019-05-21 12:00:46,테이크아웃,
1728,완료,4000,136,2019-05-26 07:17:05,매장,
1729,완료,13000,150,2019-05-21 12:48:41,테이크아웃,
1730,완료,14500,,2019-05-21 13:37:20,매장,
1731,완료,15000,107,2019-05-26 10:31:52,테이크아웃,
1732,완료,10000,128,2019-05-25 17:02:00,매장,
1733,완료,3000,151,2019-05-23 07:33:15,매장,
1734,완료,1500,94,2019-05-21 12:04:28,매장,
1735,완료,11000,142,2019-05-26 15:40:27,테이크아웃,
1736,완료,11000,,2019-05-21 19:05:39,테이크아웃,
1737,완료,8000,15,2019-05-21 07:59:00,테이크아웃,
1738,완료,12000,43,2019-05-22 14:26:04,테이크아웃,
1739,완료,6000,146,2019-05-25 12:43:31,테이크아웃,
1740,완료,22000,140,2019-05-22 19:26:46,테이크아웃,
1741,완료,1500,96,2019-05-23 12:25:27,매장,
1742,완료,3500,64,2019-05-25 12:10:11,테이크아웃,
1743,완료,4000,108,2019-05-22 11:07:12,매장,
1744,완료,12000,10,2019-05-26 15:15:44,테이크아웃,
1745,완료,8000,85,2019-05-23 13:51:33,테이크아웃,
1746,완료,16500,115,2019-05-21 17:04:50,테이크아웃,
1747,완료,11000,,2019-05-26 19:49:21,매장,
1748,취소,3000,98,2019-05-23 14:53:49,매장,
1749,완료,10000,,2019-05-22 12:56:56,매장,
1750,완료,15000,79,2019-05-22 14:35:17,테이크아웃,
1751,완료,3000,152,2019-05-26 17:47:21,테이크아웃,
1752,완료,8000,68,2019-05-26 13:49:58,매장,
1753,완료,5500,153,2019-05-25 12:29:10,테이크아웃,
1754,완료,17500,71,2019-05-26 12:47:05,테이크아웃,
1755,완료,7500,115,2019-05-21 12:55:55,테이크아웃,
1756,완료,16500,,2019-05-26 11:10:38,테이크아웃,
1757,완료,15000,,2019-05-26 16:06:12,테이크아웃,
1758,완료,12000,,2019-05-25 17:45:47,매장,
1759,완료,1500,152,2019-05-26 07:42:01,테이크아웃,
1760,완료,18000,,2019-05-26 11:36:51,매장,
1761,완료,4000,41,2019-05-26 14:04:34,테이크아웃,
1762,완료,9000,,2019-05-21 16:55:26,매장,
1763,완료,15000,145,2019-05-22 12:55:18,매장,
1764,완료,12000,91,2019-05-21 16:47:39,테이크아웃,
1765,완료,15000,126,2019-05-26 10:46:16,테이크아웃,
1766,완료,11000,25,2019-05-25 14:36:16,테이크아웃,
1767,완료,26500,,2019-05-22 08:14:17,매장,
1768,완료,12000,44,2019-05-21 09:07:23,매장,
1769,완료,13000,61,2019-05-25 14:34:53,테이크아웃,
1770,완료,12000,53,2019-05-21 07:52:00,테이크아웃,
1771,완료,16500,,2019-05-20 21:01:01,매장,
1772,완료,12000,123,2019-05-25 13:02:31,테이크아웃,
1773,완료,12000,42,2019-05-25 09:23:20,매장,
1774,완료,14500,154,2019-05-26 18:41:16,매장,
1775,완료,10000,,2019-05-25 22:34:50,테이크아웃,
1776,완료,24000,,2019-05-26 09:24:30,테이크아웃,
1777,완료,5000,21,2019-05-26 17:34:20,매장,
1778,완료,15000,155,2019-05-26 12:03:58,테이크아웃,
1779,완료,5500,81,2019-05-25 07:06:29,테이크아웃,
1780,완료,10000,12,2019-05-23 19:38:23,테이크아웃,
1781,완료,11000,94,2019-05-20 13:11:37,테이크아웃,
1782,취소,5500,,2019-05-22 11:39:02,매장,
1783,완료,6000,80,2019-05-26 11:14:55,매장,
1784,완료,5000,151,2019-05-20 11:39:46,테이크아웃,
1785,완료,4000,,2019-05-20 10:56:47,테이크아웃,
1786,완료,4500,130,2019-05-26 12:55:41,테이크아웃,
1787,완료,4000,42,2019-05-20 20:49:02,매장,
1788,완료,5000,,2019-05-22 08:05:14,매장,
1789,완료,5500,128,2019-05-25 11:04:45,테이크아웃,
1790,완료,5500,,2019-05-21 20:39:18,테이크아웃,
1791,완료,18500,22,2019-05-22 13:47:29,테이크아웃,
1792,완료,4000,70,2019-05-20 14:36:19,매장,
1793,완료,3000,7,2019-05-25 20:47:34,테이크아웃,
1794,완료,11000,,2019-05-26 11:19:23,테이크아웃,
1795,완료,7000,16,2019-05-25 09:42:42,매장,
1796,완료,12000,97,2019-05-26 14:41:39,매장,
1797,완료,5000,112,2019-05-22 15:39:24,테이크아웃,
1798,완료,3000,,2019-05-23 22:52:59,테이크아웃,
1799,완료,11000,79,2019-05-26 11:26:32,테이크아웃,
1800,완료,12000,12,2019-05-20 06:29:00,테이크아웃,
1801,완료,16500,,2019-05-26 11:24:20,테이크아웃,
1802,완료,9000,,2019-05-23 10:52:20,테이크아웃,
1803,완료,5000,,2019-05-26 07:43:50,테이크아웃,
1804,완료,17000,,2019-05-25 18:15:02,테이크아웃,
1805,완료,31500,104,2019-05-25 07:07:18,테이크아웃,
1806,완료,3000,93,2019-05-26 22:56:12,테이크아웃,
1807,완료,9000,,2019-05-21 15:48:53,테이크아웃,
1808,완료,3000,,2019-05-26 23:15:21,테이크아웃,
1809,취소,6000,,2019-05-22 11:52:04,매장,
1810,완료,15500,13,2019-05-26 17:39:57,테이크아웃,
1811,완료,6000,94,2019-05-22 11:38:58,매장,
1812,완료,5000,48,2019-05-23 13:26:50,테이크아웃,
1813,완료,3000,,2019-05-26 10:05:42,테이크아웃,
1814,완료,8000,,2019-05-26 15:45:57,테이크아웃,
1815,완료,5000,,2019-05-20 08:57:43,매장,
1816,완료,16500,135,2019-05-21 10:21:20,매장,
1817,완료,10000,,2019-05-22 12:24:14,테이크아웃,
1818,완료,3000,18,2019-05-20 09:22:35,매장,
1819,완료,10000,100,2019-05-20 16:09:50,테이크아웃,
1820,완료,3000,126,2019-05-20 17:58:07,테이크아웃,
1821,완료,11000,,2019-05-20 21:10:06,테이크아웃,
1822,완료,11500,111,2019-05-26 12:03:37,테이크아웃,
1823,완료,10500,156,2019-05-21 23:22:21,매장,
1824,완료,1500,,2019-05-21 19:09:34,테이크아웃,
1825,완료,6000,87,2019-05-20 00:59:24,매장,
1826,완료,4000,97,2019-05-25 15:23:10,테이크아웃,
1827,완료,18500,,2019-05-21 17:19:09,테이크아웃,
1828,완료,25000,,2019-05-23 16:58:26,테이크아웃,
1829,완료,10000,,2019-05-20 07:32:08,테이크아웃,
1830,완료,11000,,2019-05-26 16:53:47,테이크아웃,
1831,취소,8500,157,2019-05-23 19:09:44,테이크아웃,
1832,완료,9000,51,2019-05-26 14:00:34,테이크아웃,
1833,완료,12000,87,2019-05-22 16:43:00,테이크아웃,
1834,완료,30500,,2019-05-22 11:09:27,테이크아웃,
1835,완료,15000,13,2019-05-22 22:24:42,매장,
1836,완료,4000,57,2019-05-26 21:50:18,테이크아웃,
1837,완료,5000,74,2019-05-23 15:01:05,매장,
1838,완료,10000,91,2019-05-26 13:14:16,테이크아웃,
1839,완료,4000,,2019-05-26 07:48:42,매장,
1840,완료,7500,,2019-05-21 23:40:49,테이크아웃,
1841,취소,16500,154,2019-05-25 09:23:10,테이크아웃,
1842,완료,15000,147,2019-05-20 09:27:22,테이크아웃,
1843,완료,5000,108,2019-05-26 20:34:28,테이크아웃,
1844,완료,11000,27,2019-05-26 07:15:40,테이크아웃,
1845,완료,3000,144,2019-05-26 19:29:05,테이크아웃,
1846,완료,1500,,2019-05-23 22:26:54,테이크아웃,
1847,완료,23000,19,2019-05-25 11:17:29,매장,
1848,완료,5000,77,2019-05-20 15:41:14,테이크아웃,
1849,완료,15000,158,2019-05-26 16:49:33,테이크아웃,
1850,완료,3500,,2019-05-22 09:51:51,매장,
1851,완료,4000,17,2019-05-21 15:11:37,매장,
1852,완료,24500,,2019-05-26 15:33:03,테이크아웃,
1853,완료,5000,7,2019-05-23 06:10:07,매장,
1854,완료,15000,,2019-05-26 13:48:12,매장,
1855,완료,3000,,2019-05-22 11:13:35,매장,
1856,완료,9000,3,2019-05-26 15:36:58,테이크아웃,
1857,완료,4000,141,2019-05-26 14:54:19,테이크아웃,
1858,완료,7000,94,2019-05-25 21:46:36,테이크아웃,
1859,완료,30500,38,2019-05-26 22:19:09,테이크아웃,
1860,완료,25500,92,2019-05-26 21:28:43,매장,
1861,완료,5000,129,2019-05-23 12:07:04,테이크아웃,
1862,완료,10000,20,2019-05-23 11:08:38,테이크아웃,
1863,완료,12000,,2019-05-25 13:42:12,매장,
1864,완료,6000,,2019-05-21 16:06:22,테이크아웃,
1865,완료,15000,97,2019-05-25 14:12:10,테이크아웃,
1866,완료,8000,127,2019-05-26 16:31:23,테이크아웃,
1867,완료,6000,144,2019-05-23 17:15:16,테이크아웃,
1868,완료,4500,71,2019-05-20 12:48:25,매장,
1869,완료,4000,117,2019-05-23 23:56:02,매장,
1870,완료,8000,,2019-05-26 11:45:18,매장,
1871,완료,10000,,2019-05-23 22:18:20,테이크아웃,
1872,완료,5000,131,2019-05-26 22:19:52,테이크아웃,
1873,완료,9000,25,2019-05-20 10:22:06,테이크아웃,
1874,완료,7000,25,2019-05-26 16:47:46,매장,
1875,완료,11000,,2019-05-21 18:49:20,매장,
1876,완료,2500,69,2019-05-20 23:18:14,매장,
1877,완료,9000,,2019-05-25 15:01:56,테이크아웃,
1878,완료,9500,,2019-05-22 16:43:12,테이크아웃,
1879,완료,3000,55,2019-05-21 14:37:12,테이크아웃,
1880,완료,4000,,2019-05-26 16:43:01,테이크아웃,
1881,완료,4000,138,2019-05-23 17:14:56,매장,
1882,취소,12000,107,2019-05-26 06:23:05,매장,
1883,완료,23000,79,2019-05-26 09:51:10,테이크아웃,
1884,완료,15000,153,2019-05-20 07:37:48,매장,
1885,완료,4000,,2019-05-25 23:01:25,테이크아웃,
1886,완료,10000,131,2019-05-25 07:06:22,테이크아웃,
1887,취소,36000,147,2019-05-23 09:38:51,매장,
1888,완료,9000,11,2019-05-20 11:41:30,테이크아웃,
1889,완료,16500,68,2019-05-25 13:26:28,매장,
1890,완료,1500,,2019-05-23 16:33:53,테이크아웃,
1891,완료,7500,,2019-05-26 09:19:16,테이크아웃,
1892,완료,1500,144,2019-05-26 11:34:54,테이크아웃,
1893,완료,5000,,2019-05-26 18:54:51,매장,
1894,완료,3000,52,2019-05-26 11:44:10,테이크아웃,
1895,완료,7500,37,2019-05-21 14:49:35,테이크아웃,
1896,완료,5000,9,2019-05-20 14:29:48,테이크아웃,
1897,완료,8000,,2019-05-25 21:53:34,테이크아웃,
1898,완료,3000,4,2019-05-21 21:16:27,매장,
1899,완료,4000,,2019-05-21 08:45:29,테이크아웃,
1900,완료,26500,,2019-05-21 14:45:09,테이크아웃,
1901,취소,24000,111,2019-05-23 06:55:09,매장,
1902,완료,10000,147,2019-05-22 09:43:02,테이크아웃,
1903,완료,4000,158,2019-05-20 14:11:24,테이크아웃,
1904,완료,8000,85,2019-05-20 10:22:01,테이크아웃,
1905,취소,12000,,2019-05-25 06:55:33,테이크아웃,
1906,완료,15000,,2019-05-26 11:28:09,테이크아웃,
1907,완료,3000,150,2019-05-21 18:30:44,테이크아웃,
1908,완료,12000,21,2019-05-25 17:23:36,테이크아웃,
1909,완료,7500,13,2019-05-22 06:18:02,매장,
1910,완료,33000,88,2019-05-20 13:36:51,테이크아웃,
1911,완료,18000,127,2019-05-25 23:41:05,테이크아웃,
1912,완료,4000,137,2019-05-22 11:31:11,테이크아웃,
1913,완료,4500,156,2019-05-22 23:08:28,매장,
1914,완료,14000,84,2019-05-21 11:45:58,매장,
1915,완료,2500,,2019-05-26 13:08:59,매장,
1916,완료,4000,41,2019-05-26 22:32:58,매장,
1917,완료,9000,101,2019-05-25 21:37:21,테이크아웃,
1918,완료,10500,,2019-05-20 09:38:25,테이크아웃,
1919,완료,6000,77,2019-05-20 13:08:49,테이크아웃,
1920,완료,13500,90,2019-05-25 10:46:46,테이크아웃,
1921,완료,16500,25,2019-05-25 09:38:19,테이크아웃,
1922,완료,2000,60,2019-05-20 22:46:33,테이크아웃,
1923,취소,2000,11,2019-05-26 15:51:34,매장,
1924,완료,3000,126,2019-05-22 17:02:26,매장,
1925,완료,11000,,2019-05-25 23:41:07,테이크아웃,
1926,완료,11000,,2019-05-20 15:39:04,테이크아웃,
1927,완료,12000,,2019-05-21 08:34:05,테이크아웃,
1928,완료,4000,95,2019-05-25 21:36:54,매장,
1929,완료,8000,4,2019-05-21 13:35:03,테이크아웃,
1930,완료,24500,10,2019-05-20 06:53:39,매장,
1931,완료,5000,,2019-05-26 18:05:55,매장,
1932,완료,12000,21,2019-05-23 11:11:55,매장,
1933,완료,6000,,2019-05-22 11:33:10,테이크아웃,
1934,완료,7000,44,2019-05-22 12:10:43,매장,
1935,완료,4000,,2019-05-26 18:28:08,테이크아웃,
1936,완료,2500,15,2019-05-20 06:51:06,매장,
1937,완료,3000,76,2019-05-25 10:05:09,매장,
1938,완료,4000,,2019-05-20 11:55:58,매장,
1939,완료,2500,26,2019-05-26 14:23:22,테이크아웃,
1940,완료,10000,139,2019-05-26 13:21:32,테이크아웃,
1941,완료,3500,89,2019-05-20 20:27:56,테이크아웃,
1942,취소,11500,97,2019-05-26 13:45:19,테이크아웃,
1943,완료,14000,,2019-05-25 12:12:11,테이크아웃,
1944,완료,1500,159,2019-05-23 16:52:39,매장,
1945,완료,2000,151,2019-05-25 23:35:16,매장,
1946,완료,7500,32,2019-05-26 11:29:57,매장,
1947,완료,7500,155,2019-05-20 14:15:44,매장,
1948,완료,3000,115,2019-05-25 15:59:15,매장,
1949,완료,12000,103,2019-05-22 17:25:55,테이크아웃,
1950,완료,6000,,2019-05-23 18:05:28,테이크아웃,
1951,완료,3500,135,2019-05-21 22:28:29,테이크아웃,
1952,취소,4000,29,2019-05-25 14:47:37,테이크아웃,
1953,완료,7500,9,2019-05-25 11:35:44,매장,
1954,완료,8000,,2019-05-21 07:21:30,매장,
1955,완료,5500,160,2019-05-20 11:50:58,매장,
1956,완료,2500,161,2019-05-23 14:04:34,테이크아웃,
1957,완료,4000,,2019-05-26 04:41:46,테이크아웃,
1958,완료,4000,,2019-05-26 13:01:10,테이크아웃,
1959,완료,2500,,2019-05-20 15:45:30,테이크아웃,
1960,완료,5500,,2019-05-26 14:30:54,테이크아웃,
1961,완료,3500,162,2019-05-26 14:14:54,매장,
1962,완료,5500,2,2019-05-26 07:59:09,테이크아웃,
1963,완료,3000,50,2019-05-20 07:39:23,매장,
1964,완료,11000,,2019-05-20 13:34:00,매장,
1965,완료,2500,,2019-05-25 10:32:00,매장,
1966,완료,4000,,2019-05-22 20:46:27,테이크아웃,
1967,완료,3000,62,2019-05-22 18:34:04,테이크아웃,
1968,완료,5500,95,2019-05-22 16:27:32,테이크아웃,
1969,완료,8000,,2019-05-26 12:24:14,테이크아웃,
1970,완료,3000,,2019-05-26 20:24:22,테이크아웃,
1971,완료,16500,12,2019-05-26 10:43:25,테이크아웃,
1972,완료,24000,62,2019-05-22 12:02:38,테이크아웃,
1973,취소,2500,,2019-05-26 08:34:16,테이크아웃,
1974,완료,4500,151,2019-05-26 15:42:29,매장,
1975,완료,33000,163,2019-05-26 10:00:22,테이크아웃,
1976,취소,5500,162,2019-05-21 16:29:57,매장,
1977,완료,5500,,2019-05-20 21:18:14,테이크아웃,
1978,완료,6000,,2019-05-20 14:42:53,테이크아웃,
1979,취소,21500,,2019-05-23 21:32:47,매장,
1980,완료,6000,102,2019-05-25 14:57:16,테이크아웃,
1981,완료,6000,,2019-05-20 13:02:08,테이크아웃,
1982,완료,4000,,2019-05-26 11:19:48,테이크아웃,
1983,완료,7500,158,2019-05-26 12:06:10,테이크아웃,
1984,완료,7500,,2019-05-22 09:24:25,매장,
1985,완료,15000,86,2019-05-22 12:47:47,테이크아웃,
1986,완료,4000,,2019-05-26 12:53:18,테이크아웃,
1987,완료,1500,56,2019-05-23 14:13:22,매장,
1988,완료,1500,,2019-05-23 13:59:02,매장,
1989,완료,13000,161,2019-05-25 16:07:29,테이크아웃,
1990,완료,4000,,2019-05-21 20:40:05,테이크아웃,
1991,완료,12000,,2019-05-20 19:27:20,테이크아웃,
1992,완료,4000,,2019-05-22 20:00:42,테이크아웃,
1993,완료,3000,164,2019-05-25 15:01:15,테이크아웃,
1994,완료,6500,102,2019-05-23 21:58:41,매장,
1995,완료,27000,113,2019-05-25 15:19:25,매장,
1996,완료,2500,159,2019-05-26 21:06:38,테이크아웃,
1997,완료,16500,,2019-05-25 18:23:34,테이크아웃,
1998,완료,7000,43,2019-05-25 15:59:03,테이크아웃,
1999,완료,22500,162,2019-05-23 10:35:55,테이크아웃,
2000,완료,7500,,2019-05-23 06:40:25,테이크아웃,
2001,완료,10500,107,2019-05-23 18:42:32,테이크아웃,
2002,완료,10500,121,2019-05-22 11:52:58,테이크아웃,
2003,완료,8000,99,2019-05-25 12:29:14,매장,
2004,완료,8000,,2019-05-26 16:46:44,테이크아웃,
2005,완료,8000,137,2019-05-22 22:17:04,테이크아웃,
2006,완료,4000,4,2019-05-22 12:55:35,테이크아웃,
2007,완료,2000,134,2019-05-26 12:32:18,테이크아웃,
2008,취소,3500,165,2019-05-26 15:52:22,매장,
2009,완료,21000,,2019-05-26 07:19:09,테이크아웃,
2010,취소,6000,,2019-05-21 11:00:24,테이크아웃,
